Date,Price,Open,High,Low,Change %
4/15/17,0.03444,0.03484,0.03511,0.034,-1.15
4/14/17,0.03484,0.0349,0.0358,0.03392,-0.17
4/13/17,0.0349,0.03505,0.03603,0.034,-0.43
4/12/17,0.03505,0.0335,0.036,0.033,4.63
4/11/17,0.0335,0.0344,0.0352,0.03237,-2.62
4/10/17,0.0344,0.03498,0.03634,0.0336,-1.66
4/9/17,0.03498,0.03629,0.03629,0.03277,-3.61
4/8/17,0.03629,0.03721,0.03749,0.02521,-2.47
4/7/17,0.03721,0.03323,0.03878,0.031,11.98
4/6/17,0.03323,0.03581,0.03745,0.02904,-7.2
4/5/17,0.03581,0.03798,0.04141,0.0339,-5.71
4/4/17,0.03798,0.032,0.0431,0.02727,18.69
4/3/17,0.032,0.06319,0.0639,0.025,-49.36
4/2/17,0.06319,0.0222,0.07501,0.0217,184.64
4/1/17,0.0222,0.02128,0.0233,0.0198,4.32
3/31/17,0.02128,0.01385,0.025,0.0133,53.65
3/30/17,0.01385,0.01021,0.015,0.01017,35.65
3/29/17,0.01021,0.00953,0.01021,0.00941,7.14
3/28/17,0.00953,0.00939,0.00967,0.00909,1.48
3/27/17,0.00939,0.00958,0.0102,0.009,-1.97
3/26/17,0.00958,0.00888,0.0099,0.00888,7.92
3/25/17,0.00888,0.0106,0.01105,0.00825,-16.25
3/24/17,0.0106,0.01133,0.01188,0.00912,-6.44
3/23/17,0.01133,0.00717,0.01154,0.00717,58.02
3/22/17,0.00717,0.00685,0.00765,0.00674,4.66
3/21/17,0.00685,0.00703,0.00704,0.00663,-2.49
3/20/17,0.00703,0.00682,0.0071,0.00646,3.01
3/19/17,0.00682,0.0067,0.00722,0.00639,1.81
3/18/17,0.0067,0.00594,0.0085,0.00584,12.81
3/17/17,0.00594,0.00635,0.00635,0.00561,-6.41
3/16/17,0.00635,0.00625,0.00639,0.00592,1.55
3/15/17,0.00625,0.00641,0.00641,0.00621,-2.51
3/14/17,0.00641,0.00642,0.00642,0.00621,-0.14
3/13/17,0.00642,0.00626,0.00642,0.00593,2.57
3/12/17,0.00626,0.00623,0.00632,0.006,0.45
3/11/17,0.00623,0.0062,0.0064,0.00595,0.48
3/10/17,0.0062,0.00646,0.0066,0.00581,-3.98
3/9/17,0.00646,0.00643,0.00661,0.0063,0.45
3/8/17,0.00643,0.00671,0.00694,0.0062,-4.17
3/7/17,0.00671,0.00605,0.00688,0.00585,10.82
3/6/17,0.00605,0.00609,0.00624,0.006,-0.57
3/5/17,0.00609,0.00625,0.00629,0.00598,-2.61
3/4/17,0.00625,0.0065,0.00671,0.00619,-3.83
3/3/17,0.0065,0.00608,0.0065,0.0059,6.93
3/2/17,0.00608,0.00537,0.00645,0.00537,13.16
3/1/17,0.00537,0.00553,0.0056,0.0053,-2.86
2/28/17,0.00553,0.00555,0.0057,0.0053,-0.36
2/27/17,0.00555,0.00565,0.00579,0.00555,-1.74
2/26/17,0.00565,0.0057,0.00574,0.00561,-0.91
2/25/17,0.0057,0.0057,0.0058,0.00563,-2.55
2/24/17,0.00585,0.00585,0.00585,0.00585,0
2/23/17,0.00585,0.00583,0.00586,0.00575,0.33
2/22/17,0.00583,0.0059,0.00595,0.00582,-1.19
2/21/17,0.0059,0.0059,0.00598,0.00573,0
2/20/17,0.0059,0.00592,0.00598,0.00568,-0.29
2/19/17,0.00592,0.00554,0.00598,0.00551,6.92
2/18/17,0.00554,0.006,0.006,0.00533,-7.72
2/17/17,0.006,0.0059,0.00615,0.0057,1.69
2/16/17,0.0059,0.00615,0.00633,0.0059,-4.1
2/15/17,0.00615,0.00631,0.00631,0.0061,-2.5
2/14/17,0.00631,0.00624,0.00639,0.00621,1.04
2/13/17,0.00624,0.00623,0.00636,0.00615,0.21
2/12/17,0.00623,0.00631,0.00635,0.00623,-1.31
2/11/17,0.00631,0.0063,0.00637,0.00626,0.24
2/10/17,0.0063,0.00624,0.00635,0.00613,0.98
2/9/17,0.00624,0.00636,0.0064,0.006,-1.9
2/8/17,0.00636,0.00635,0.00646,0.0062,0.22
2/7/17,0.00635,0.00635,0.00646,0.00625,-0.11
2/6/17,0.00635,0.00634,0.00639,0.00627,0.17
2/5/17,0.00634,0.00644,0.00646,0.00625,-1.58
2/4/17,0.00644,0.00639,0.00647,0.00625,0.81
2/3/17,0.00639,0.0064,0.00643,0.00625,-0.13
2/2/17,0.0064,0.00648,0.00659,0.0064,-1.19
2/1/17,0.00648,0.00626,0.0067,0.00611,3.47
1/31/17,0.00626,0.00634,0.0066,0.00624,-1.28
1/30/17,0.00634,0.00635,0.00639,0.00625,-0.19
1/29/17,0.00635,0.00631,0.00645,0.00624,0.67
1/28/17,0.00631,0.00636,0.0065,0.00625,-0.79
1/27/17,0.00636,0.00632,0.00649,0.00618,0.57
1/26/17,0.00632,0.00647,0.00649,0.0062,-2.23
1/25/17,0.00647,0.00645,0.00656,0.00642,0.29
1/24/17,0.00645,0.00666,0.00669,0.00645,-3.17
1/23/17,0.00666,0.00675,0.00676,0.0066,-1.33
1/22/17,0.00675,0.00677,0.00679,0.00667,-0.21
1/21/17,0.00677,0.00659,0.00689,0.00659,2.69
1/20/17,0.00659,0.00669,0.0068,0.00659,-1.51
1/19/17,0.00669,0.00673,0.00685,0.0066,-0.58
1/18/17,0.00673,0.0067,0.0068,0.00648,0.37
1/17/17,0.0067,0.00678,0.00689,0.00641,-1.14
1/16/17,0.00678,0.00681,0.00689,0.0067,-0.44
1/15/17,0.00681,0.00679,0.00691,0.0067,0.22
1/14/17,0.00679,0.00667,0.007,0.00659,1.89
1/13/17,0.00667,0.00636,0.00671,0.0063,4.87
1/12/17,0.00636,0.00654,0.00709,0.0063,-2.81
1/11/17,0.00654,0.00681,0.0069,0.00625,-3.99
1/10/17,0.00681,0.00618,0.00714,0.00618,10.35
1/9/17,0.00618,0.00625,0.00634,0.00612,-1.2
1/8/17,0.00625,0.00636,0.00646,0.00624,-1.76
1/7/17,0.00636,0.00622,0.00646,0.00605,2.27
1/6/17,0.00622,0.00628,0.0065,0.00599,-0.86
1/5/17,0.00628,0.00641,0.00689,0.00565,-2.09
1/4/17,0.00641,0.00641,0.00684,0.00637,0
1/3/17,0.00641,0.00631,0.00657,0.00622,1.57
1/2/17,0.00631,0.00635,0.00642,0.00621,-0.54
1/1/17,0.00635,0.00651,0.0066,0.00626,-2.53
