Date,Price,Open,High,Low,Change %
4/24/17,53.54,53.33,54.48,53,0.39
4/23/17,53.33,52.15,54.44,51.75,2.26
4/22/17,52.15,51.37,52.78,51.03,1.52
4/21/17,51.37,51.96,52.27,51.1,-1.14
4/20/17,51.96,49.66,52.45,48.6,4.63
4/19/17,49.66,52.42,53,45,-5.27
4/18/17,52.42,49.52,53,49.07,5.86
4/17/17,49.52,49.58,50.27,48.88,-0.12
4/16/17,49.58,49.71,49.9,48.87,-0.26
4/15/17,49.71,48.5,50.48,47.95,2.49
4/14/17,48.5,50.65,50.65,47.34,-4.24
4/13/17,50.65,46.85,51.51,46.85,8.11
4/12/17,46.85,44.21,48.47,43.84,5.97
4/11/17,44.21,44.17,44.8,43.8,0.09
4/10/17,44.17,43.94,44.76,43.01,0.52
4/9/17,43.94,44.51,44.86,43.18,-1.28
4/8/17,44.51,42.25,45.76,42.25,5.35
4/7/17,42.25,43.11,44.53,41.78,-1.99
4/6/17,43.11,45.35,46.03,41.25,-4.94
4/5/17,45.35,44.41,47.53,44.19,2.12
4/4/17,44.41,44.28,45.69,41.05,0.29
4/3/17,44.28,48.6,48.6,42.77,-8.89
4/2/17,48.6,50.59,51.59,47.7,-3.93
4/1/17,50.59,49.72,51.87,48.7,1.75
3/31/17,49.72,51.62,51.83,46.82,-3.68
3/30/17,51.62,52.88,53.28,50.75,-2.38
3/29/17,52.88,50.16,54.3,49.4,5.42
3/28/17,50.16,48.93,50.6,47.95,2.51
3/27/17,48.93,50.46,52.01,47.67,-3.03
3/26/17,50.46,50.75,51.8,46.55,-0.57
3/25/17,50.75,54.01,54.9,47.46,-6.04
3/24/17,54.01,43.14,58.99,42.5,25.2
3/23/17,43.14,41.46,44.75,40.22,4.05
3/22/17,41.46,42.45,42.95,38.51,-2.33
3/21/17,42.45,42.06,43.7,41.15,0.93
3/20/17,42.06,43.17,45.13,39.47,-2.57
3/19/17,43.17,34.2,45.69,34.1,26.23
3/18/17,34.2,44.65,44.99,31.1,-23.4
3/17/17,44.65,45.07,51.88,32.84,-0.93
3/16/17,45.07,34.8,46.21,34.8,29.51
3/15/17,34.8,28.66,34.8,28.36,21.42
3/14/17,28.66,28.4,29.93,27,0.92
3/13/17,28.4,23.2,30.6,23.2,22.41
3/12/17,23.2,21.3,23.23,21.05,8.92
3/11/17,21.3,19.18,21.45,18.83,11.05
3/10/17,19.18,17.75,19.7,16.5,8.06
3/9/17,17.75,16.51,18,16.25,7.51
3/8/17,16.51,18.88,18.88,16.51,-12.55
3/7/17,18.88,19.51,19.67,18.5,-3.23
3/6/17,19.51,19.35,20.23,19.14,0.83
3/5/17,19.35,18.5,19.45,18.15,4.59
3/4/17,18.5,19.49,20,18.4,-5.08
3/3/17,19.49,19.02,20.73,18.43,2.47
3/2/17,19.02,17.43,19.45,16.3,9.12
3/1/17,17.43,15.86,17.49,15.62,9.9
2/28/17,15.86,15.5,16.23,15.18,2.32
2/27/17,15.5,14.57,15.75,14.3,6.38
2/26/17,14.57,13.55,14.66,13.3,7.53
2/25/17,13.55,13.11,13.8,13.05,3.36
2/24/17,13.11,13.27,13.31,12.7,-1.21
2/23/17,13.27,12.68,13.37,12.6,4.65
2/22/17,12.68,12.82,12.85,12.6,-1.09
2/21/17,12.82,12.4,12.89,12.25,3.39
2/20/17,12.4,12.8,12.91,12.4,-3.13
2/19/17,12.8,12.79,12.94,12.7,0.08
2/18/17,12.79,12.76,12.9,12.7,0.24
2/17/17,12.76,12.92,12.92,12.6,-1.24
2/16/17,12.92,12.92,12.99,12.57,0
2/15/17,12.92,13.02,13.15,12.59,-0.31
2/14/17,12.96,11.32,13.4,11.32,14.19
2/13/17,11.35,11.33,11.37,11.05,0.8
2/12/17,11.26,11.33,11.4,11.22,-0.62
2/11/17,11.33,11.27,11.38,11.13,0.27
2/10/17,11.3,10.95,11.39,10.75,3.67
2/9/17,10.9,11.35,11.51,10.41,-3.96
2/8/17,11.35,11.45,11.6,11,-0.53
2/7/17,11.41,11.31,11.5,11.25,0.8
2/6/17,11.32,11.18,11.33,11.12,1.25
2/5/17,11.18,11.32,11.37,11.05,-1.24
2/4/17,11.32,11,11.4,11,3.57
2/3/17,10.93,10.78,10.93,10.55,1.2
2/2/17,10.8,10.71,10.84,10.53,0.84
2/1/17,10.71,10.71,10.77,10.41,0
1/31/17,10.71,10.5,10.74,10.38,1.71
1/30/17,10.53,10.44,10.69,10.38,0.67
1/29/17,10.46,10.49,10.51,10.38,-0.48
1/28/17,10.51,10.5,10.54,10.35,0.1
1/27/17,10.5,10.52,10.58,10.36,-1.22
1/26/17,10.63,10.49,10.63,10.43,1.43
1/25/17,10.48,10.52,10.58,10.35,-0.19
1/24/17,10.5,10.58,10.75,10.46,-2.51
1/23/17,10.77,10.64,10.83,10.59,1.22
1/22/17,10.64,10.91,10.98,10.34,-2.83
1/21/17,10.95,10.64,11.09,10.56,3.11
1/20/17,10.62,10.38,10.75,10.3,2.31
1/19/17,10.38,10.31,10.51,10.15,1.86
1/18/17,10.19,10.3,10.49,9.74,0.69
1/17/17,10.12,9.54,10.6,9.53,5.31
1/16/17,9.61,9.72,9.78,9.55,-2.04
1/15/17,9.81,9.67,9.83,9.6,1.45
1/14/17,9.67,9.72,9.87,9.51,0
1/13/17,9.67,9.83,9.83,9.39,-1.63
1/12/17,9.83,9.48,10.04,9.08,0.41
1/11/17,9.79,10.61,10.7,9.41,-7.73
1/10/17,10.61,10.43,10.75,10.2,3.41
1/9/17,10.26,10.43,10.84,9.5,-0.19
1/8/17,10.28,9.8,10.48,9.8,4.47
1/7/17,9.84,10.09,10.19,9.48,-2.38
1/6/17,10.08,10.23,10.4,9.47,-0.69
1/5/17,10.15,11.16,11.7,9.2,-7.73
1/4/17,11,9.57,11.1,9.44,12.94
1/3/17,9.74,8.43,9.9,8.3,16.37
1/2/17,8.37,8.19,8.5,8.11,2.07
1/1/17,8.2,8.17,8.59,8.03,2.5
